asin,main_url,last_visited,child_url,position,name
B081C2PD68,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Khatri-Gharchola-Bandhani-Saree-Handmade/dp/B081C2PD68/,11,Gaji Silk Gharchola Bandhani Saree Bandhani Kutch Handmade RED - GREEN
B07XTL9JBQ,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Banarasi-Embroidered-8907544954528_Pink/dp/B07XTL9JBQ/,12,Banarasi Embroidered Saree (8907544954528_Pink Pearl)
B07XTKHGW6,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Banarasi-Embroidered-8907544957352_Blue/dp/B07XTKHGW6/,13,Banarasi Embroidered Saree (8907544957352_Blue Cobalt)
B07XTK965Z,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Georgette-Embroidered-8907544957369_Blue/dp/B07XTK965Z/,14,Georgette Embroidered Saree (8907544957369_Blue Light)
B07XTJMX5G,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Banarasi-Embroidered-8907544951459_Cream/dp/B07XTJMX5G/,15,Banarasi Embroidered Saree (8907544951459_Cream)
B07XTJGPXC,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Velvet-Embroidered-8907544957321_Wine/dp/B07XTJGPXC/,16,Velvet Embroidered Saree (8907544957321_Wine Plum)
B07XTJ7KZD,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Banarasi-Embroidered-8907544957390_Cream/dp/B07XTJ7KZD/,17,Banarasi Embroidered Saree (8907544957390_Cream)
B07XTHVBN9,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Georgette-Embroidered-8907544957468_Wine/dp/B07XTHVBN9/,18,Georgette Embroidered Saree (8907544957468_Wine)
B07XTHVB2B,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Georgette-Embroidered-8907544961090_Pink/dp/B07XTHVB2B/,19,Georgette Embroidered Saree (8907544961090_Pink Soft)
B07XTH6PXJ,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Georgette-Embroidered-8907544961113_Blue/dp/B07XTH6PXJ/,20,Georgette Embroidered Saree (8907544961113_Blue)
B07XTG84W4,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Georgette-Embroidered-8907544953255_Black/dp/B07XTG84W4/,21,Georgette Embroidered Saree (8907544953255_Black)
B07XLMV79W,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Velvet-Embroidered-8907544957338_Black/dp/B07XLMV79W/,22,Velvet Embroidered Saree (8907544957338_Black)
B07XLMTF6L,https://www.amazon.in/s/260-3287618-1190060?fst=as%3Aoff&rh=n%3A1571271031%2Cn%3A%211571272031%2Cn%3A1953602031%2Cn%3A1968253031%2Cn%3A1968256031%2Cp_36%3A4595088031&bbn=1968256031&ie=UTF8&low-price=32703.129999999997&high-price=63906.25,2019-12-05T08:45:10,https://www.amazon.in/Satya-Paul-Satin-Embroidered-8907544953231_Beige/dp/B07XLMTF6L/,23,Satin Embroidered Saree (8907544953231_Beige Soft)
